run_name,val_accuracy,best_params,model_path,importances_path
no_weight,0.4953271028037383,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 400}",C:\Users\clem7\projets-code\IA\football-prediction\models\random_forest_no_weight.pkl,C:\Users\clem7\projets-code\IA\football-prediction\models\rf_feature_importances_no_weight.csv
linear_small,0.4953271028037383,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 400}",C:\Users\clem7\projets-code\IA\football-prediction\models\random_forest_linear_small.pkl,C:\Users\clem7\projets-code\IA\football-prediction\models\rf_feature_importances_linear_small.csv
exp_soft,0.4953271028037383,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 400}",C:\Users\clem7\projets-code\IA\football-prediction\models\random_forest_exp_soft.pkl,C:\Users\clem7\projets-code\IA\football-prediction\models\rf_feature_importances_exp_soft.csv
